,KM,,15,8,10,8,8,15,64,,,,,,
,VECKA 48,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Tisdagsbana,Easy run,UBN,Easy run,Sly KM,Easy run,8,,,,,,
,,,Gym ben,,,,,,,,,,,,
,Intensitet,låg,med,låg,med,låg,Tävling,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,35,180,60,60,45,75,60,"8,583333333",,,,,,
,Info,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,6,17,11,10,,10,12,66,,,,,,
,VECKA 49,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Gym ben,Tisdagsbana,Easy run,15x400 tröskel,Easy run,5x4,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,låg,med,låg,med,låg,hög,låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,75,120,65,60,75,45,60,"8,333333333",,,,,,
,Info,Ben + easy run 4k,,,@95-90,,@3:35/km aka 5k pace,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,19,9,10,13,10,11,72,,,,,,
,VECKA 50,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Intervaller inomhus OLGY,Easy run,Easy run,3or mjölksyra,Easy run,4x10,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,hög,låg,låg,hög,låg,med,låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,120,45,45,50,60,80,45,"7,416666667",,,,,,
,Info,Ben + easy run 4k,,,7x3/45 @3:45,,@ 21 pace ~4:10,,,,,,,,
,,,,,,,,,,,,,,,
,KM,8,8,8,8,12,15,8,67,,,,,,
,VECKA 51,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Intervaller inomhus OLGY,Tisdagsbana,Easy run Arons intervaller,Nattraket Täby,Easy run,Easy run,3or mjölksyra,9,,,,,,
,,Easy run Frida ,,,,ev. löpband,,,,,,,,,
,Intensitet,hög,med,låg,hög,låg,låg,hög,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,90,120,100,60,75,45,50,9,,,,,,
,Info,,,,,,,7x3/45 @3:45,,,,,,,
,,,,,,,,,,,,,,,
,KM,13,18,8,10,22,8,8,87,,,,,,
,VECKA 52,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,5x4,Julaftons STRAVAART Easy run,Easy OL,3or mjölksyra,4x10,,8,,,,,,
,,,Gym,,,Eller OL intz,,Styrka Gym MOI,,,,,,,
,Intensitet,låg,hög,låg,låg,hög,med,låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,75,90,35,150,50,80,60,"7,75",,,,,,
,Info,,@3:35/km aka 5k pace,,,7x3/45 @3:45,@ 21 pace ~4:05,,,,,,,,
,,,,,,,,,,,,,,,
,KM,11,7,4,19,,13,,54,,,,,,
,VECKA 1,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,5x4,Hemlängtan easy run,Easy OL,Easy natt OL,Easy natt OL,Easy run,Easy run,9,,,,,,
,,,Skridskor,,,4x10,,,,,,,,,
,Intensitet,hög,låg,låg,låg,låg,låg,låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,60,90,120,,120,75,75,9,,,,,,
,Info,,Med Elias,50 kontroller med Elias,,4:03 4:00 3:55 3:47,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,10,10,,20,11,10,71,,,,,,
,VECKA 2,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Gym ben,LP,3or mjölksyra,skidor,3x13/3:30,Skidor,3or mjölksyra,8,,,,,,
,,,,Ev skidor?,,,,,,,,,,,
,Intensitet,låg,med,hög,låg,hög,låg,hög,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,45,120,130,90,40,75,50,"9,166666667",,,,,,
,Info,Ben + easy run 4k,,7x3/45 @3:45,,,,7x3/45 @3:45,,,,,,,
,,,,,,,,,,,,,,,
,KM,,19,9,,8,,10,46,,,,,,
,VECKA 3,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy ski,Easy ski,Easy run,3or mjölksyra,Easy run,Easy run,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,låg,låg,låg,hög,låg,låg,låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,90,90,45,50,75,45,75,"7,833333333",,,,,,
,Info,20k,20k,,7x3/45 @3:45,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,,8,9,10,11,12,50,,,,,,
,VECKA 4,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Tisdagsbana,Easy run,5x4,Easy skate,Easy klassiskt,Easy skate,8,,,,,,
,,,,,,,4x10 skate,,,,,,,,
,Intensitet,låg,med,låg,hög,Låg,Låg,Låg,,,,,,,
,,,,,,,,,,,,,,,
,Tid,,120,60,60,90,230,120,"11,33333333",,,,,,
,Info,"Vila, trött och lite sliten i benen",,"Easy ski på skaren, basicly vila",,20,15km + 25km,25km,,,,,,,
,,,,,,,,,,,,,,,
,KM,,20,10,10,,,,40,,,,,,
,VECKA 5,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,4x10 skidor,Tisdagsbana/Snabbare dist,Easy run,Easy run,4x10,3or mjölksyra,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,med,med,låg,låg,med,hög,låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,90,120,75,45,80,60,45,"8,583333333",,,,,,
,Info,@ LT,,,,@ 21 pace ~3:45,7x3/45 @3:30,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,20,13,8,14,9,8,72,,,,,,
,VECKA 6,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,OLGY Intervaller,Tisdagsbana/Snabbare dist,Easy run,4x10,Easy run,SIC,SIC,10,,,,,,
,,,,Skidor Easy,,,3or mjölksyra,Easyrun,,,,,,,
,Intensitet,hög,med,låg,hög,låg,hög,med,,,,,,,
,Tid på dagen,morgon,,,morgon,,,,,,,,,,
,Tid,75,120,110,80,45,120,60,"10,16666667",,,,,,
,Info,,,,@ 21 pace ~3:45,SLITEN = VILA,,5k Easyrun,,,,,,,
,,,,,,,,,,,,,,,
,KM,8,20,8,14,,14,10,74,,,,,,
,VECKA 7,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Gym,Easy run,Easy ski,5x4,Easy run,3or mjölksyra,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,Låg,med,Låg,hög,låg,hög,Låg,,,,,,,
,Tid på dagen,Kväll,,,,,,,,,,,,,
,Tid,75,90,60,60,45,60,50,"7,333333333",,,,,,
,Info,,,,,Ev. Vila,7x3/45 @3:45,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,15,,10,8,10,10,53,,,,,,
,VECKA 8,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,5x4,Easy ski,4x10,Easy run,3or mjölksyra,Easy ski,5x4 Skate,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,hög,låg,hög,låg,hög,låg,med,,,,,,,
,Tid på dagen,,,morgon,,,,,,,,,,,
,Tid,60,90,80,90,60,15,75,"7,833333333",,,,,,
,Info,,,@ 21 pace ~3:45,,7x3/45 @3:45,,17k,,,,,,,
,,,,,,,,,,,,,,,
,KM,9,,12,16,10,,,47,,,,,,
,VECKA 9,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy klassiskt,Easy klassiskt,LP skate,4x10 stak,Easy skate,5x4 Skate,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,låg,låg,låg,med,låg,med,låg,,,,,,,
